K0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04       i03
2.6150e+02 4.1723e-08 3.7049e-08 3.2862e-08 2.9047e-08 2.5572e-08 2.2387e-08 1.9430e-08 1.6625e-08 1.3881e-08
2.6250e+02 5.9668e-08 5.1627e-08 4.4537e-08 3.8245e-08 3.2688e-08 2.7787e-08 2.3443e-08 1.9546e-08 1.5963e-08
2.6350e+02 1.4932e-07 1.2339e-07 1.0025e-07 7.9980e-08 6.2580e-08 4.8058e-08 3.6335e-08 2.7211e-08 2.0298e-08
2.6450e+02 1.6849e-07 1.3771e-07 1.1034e-07 8.6509e-08 6.6236e-08 4.9549e-08 3.6326e-08 2.6258e-08 1.8706e-08
2.6550e+02 3.1542e-07 2.5896e-07 2.0718e-07 1.6087e-07 1.2041e-07 8.6312e-08 5.8953e-08 3.8442e-08 2.4302e-08
2.6650e+02 1.6982e-07 1.4053e-07 1.1423e-07 9.1069e-08 7.1076e-08 5.4298e-08 4.0671e-08 2.9991e-08 2.1860e-08
2.6750e+02 1.7806e-07 1.4646e-07 1.1814e-07 9.3315e-08 7.2023e-08 5.4320e-08 4.0117e-08 2.9148e-08 2.0912e-08
2.6850e+02 2.5767e-07 2.1163e-07 1.6988e-07 1.3291e-07 1.0092e-07 7.4172e-08 5.2755e-08 3.6513e-08 2.4817e-08
2.6950e+02 1.3111e-07 1.0854e-07 8.8605e-08 7.1287e-08 5.6561e-08 4.4362e-08 3.4510e-08 2.6700e-08 2.0430e-08
2.7050e+02 2.0583e-07 1.6973e-07 1.3738e-07 1.0892e-07 8.4420e-08 6.3984e-08 4.7549e-08 3.4878e-08 2.5284e-08
2.7150e+02 1.1873e-07 9.9664e-08 8.2910e-08 6.8340e-08 5.5876e-08 4.5421e-08 3.6812e-08 2.9766e-08 2.3889e-08
2.7250e+02 6.1662e-08 5.4518e-08 4.8374e-08 4.2941e-08 3.8100e-08 3.3711e-08 2.9632e-08 2.5697e-08 2.1703e-08
2.7350e+02 9.3382e-08 7.9925e-08 6.8197e-08 5.7972e-08 4.9135e-08 4.1532e-08 3.4988e-08 2.9208e-08 2.3904e-08
2.7450e+02 7.2600e-08 6.5223e-08 5.8611e-08 5.2539e-08 4.6962e-08 4.1801e-08 3.6981e-08 3.2383e-08 2.7839e-08
2.7550e+02 1.0309e-07 8.9429e-08 7.7304e-08 6.6492e-08 5.6926e-08 4.8498e-08 4.1068e-08 3.4451e-08 2.8387e-08
2.7650e+02 1.5309e-07 1.2994e-07 1.0949e-07 9.1520e-08 7.5899e-08 6.2500e-08 5.1116e-08 4.1444e-08 3.3085e-08
2.7750e+02 1.4332e-07 1.2334e-07 1.0574e-07 9.0171e-08 7.6475e-08 6.4494e-08 5.3998e-08 4.4760e-08 3.6352e-08
2.7850e+02 7.5817e-08 6.9365e-08 6.3384e-08 5.7689e-08 5.2246e-08 4.6991e-08 4.1839e-08 3.6664e-08 3.1219e-08
2.7950e+02 4.8356e-08 4.6174e-08 4.4209e-08 4.2242e-08 4.0252e-08 3.8201e-08 3.6061e-08 3.3795e-08 3.1342e-08
2.8050e+02 5.5423e-08 5.2548e-08 4.9914e-08 4.7309e-08 4.4708e-08 4.2066e-08 3.9341e-08 3.6477e-08 3.3350e-08
2.8150e+02 1.1031e-07 9.7892e-08 8.6875e-08 7.6906e-08 6.7864e-08 5.9609e-08 5.1922e-08 4.4554e-08 3.7017e-08
2.8250e+02 1.2316e-07 1.0705e-07 9.3349e-08 8.1429e-08 7.1015e-08 6.1874e-08 5.3641e-08 4.6006e-08 3.8361e-08
