wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.04335 2.149000674245732e-06 2.0878330958425374e-06 2.034882726754695e-06 1.969588858673887e-06 1.8870853239229556e-06 1.7824153681731299e-06 1.6479151038635854e-06 1.473193091453544e-06 1.2439159855920988e-06
430.04421 1.9626559348355835e-06 1.9448609581280958e-06 1.9072157256423518e-06 1.8507797862487876e-06 1.7749361147609497e-06 1.6763341656334696e-06 1.5483712034791031e-06 1.38363798902527e-06 1.1706216411921226e-06
430.04507 1.983609559566849e-06 1.983098627668978e-06 1.9492880175088438e-06 1.8918100282262916e-06 1.8113052560220349e-06 1.705520693911333e-06 1.5692644493943797e-06 1.3966773522584775e-06 1.1776161126199533e-06
430.04593 2.228357406342368e-06 2.2238017376183375e-06 2.1808682629687944e-06 2.109276170188474e-06 2.009789259977516e-06 1.8818492467303106e-06 1.7214504520955883e-06 1.5223146455779436e-06 1.2730131900422546e-06
430.04679 2.704980679450476e-06 2.6941137372873563e-06 2.627168422521224e-06 2.5237922235381625e-06 2.3880397814650508e-06 2.221263459319205e-06 2.020012019408294e-06 1.775599527934502e-06 1.4723665249225277e-06
430.04765 3.428810697329232e-06 3.4040103228986603e-06 3.2907083297996335e-06 3.135245490018068e-06 2.946117068618694e-06 2.7252955788985065e-06 2.469064677464418e-06 2.164784091564598e-06 1.7897304183651917e-06
430.04851 4.369009637635812e-06 4.30184667099595e-06 4.123332873640375e-06 3.901241273152946e-06 3.6468392910373976e-06 3.363088043903362e-06 3.046227955031728e-06 2.6791401903183232e-06 2.2302402908476107e-06
430.04937 5.4060079070098014e-06 5.269797640241221e-06 5.022873057717276e-06 4.733273574411335e-06 4.413736993424132e-06 4.068739081002851e-06 3.6956716305310954e-06 3.2755889510397236e-06 2.770502216427213e-06
430.05023 6.430437722959232e-06 6.212970449985339e-06 5.8997380683148795e-06 5.546703796491345e-06 5.16690205854582e-06 4.765650865006443e-06 4.342792729663988e-06 3.881707252242537e-06 3.341927157835482e-06
430.05109 7.424040461630832e-06 7.111974092389578e-06 6.724212454893349e-06 6.304788039372525e-06 5.8641071263429e-06 5.407646139269922e-06 4.93666023303253e-06 4.438299312879668e-06 3.875218750078296e-06
430.05195 8.41578781252509e-06 7.992540716868774e-06 7.513112126355397e-06 7.015515933964247e-06 6.506045337361246e-06 5.988573839349408e-06 5.464929924705788e-06 4.9249913770335914e-06 4.337299483539446e-06
430.05281 9.423453234716892e-06 8.875396583257754e-06 8.289314746865938e-06 7.699633614246415e-06 7.10941422318776e-06 6.5211336445743914e-06 5.9362076543747986e-06 5.345451475764343e-06 4.723284735873457e-06
430.05367 1.0443599907233014e-05 9.76517306735226e-06 9.063443677776887e-06 8.370985896242508e-06 7.68920831449655e-06 7.019459125625792e-06 6.3632118503253e-06 5.711683077478978e-06 5.043241744809165e-06
430.05453 1.1463625443139828e-05 1.0656189227125715e-05 9.83638670868165e-06 9.035273726291388e-06 8.254576045010404e-06 7.495142613532962e-06 6.759045366614702e-06 6.038138649179642e-06 5.313422331850399e-06
430.05539 1.2470249505997242e-05 1.1538618028819169e-05 1.0602333605789426e-05 9.690845402520714e-06 8.807461904034217e-06 7.953485986094187e-06 7.132084725227388e-06 6.336295392116875e-06 5.548944857939589e-06
430.05625 1.3451165760663043e-05 1.2401166591632527e-05 1.1351586356388294e-05 1.0330516276604827e-05 9.343301565359234e-06 8.392883704467877e-06 7.484122493413197e-06 6.611313788053739e-06 5.758965525718256e-06
430.05711 1.4393699699670873e-05 1.3230428164102533e-05 1.2070994453075505e-05 1.0942284687908628e-05 9.852251666556826e-06 8.806141860998673e-06 7.811026714538115e-06 6.862504724377779e-06 5.946777841301691e-06
430.05797 1.528195063798237e-05 1.4008614918975232e-05 1.2741909450095709e-05 1.1508210865673728e-05 1.0318699030863753e-05 9.18084737213816e-06 8.104151618149572e-06 7.0851686081609015e-06 6.111606897044944e-06
430.05883 1.6093296838485016e-05 1.4710032739416741e-05 1.3337620752011928e-05 1.2003145619299857e-05 1.07207214283303e-05 9.499500534105759e-06 8.35070369442498e-06 7.271286185816096e-06 6.249723308493598e-06
430.05969 1.679311891880271e-05 1.5297006125798195e-05 1.3821559108373674e-05 1.2394623925122295e-05 1.1031304115641339e-05 9.740988396127544e-06 8.535165166105806e-06 7.410364595258858e-06 6.354900361468457e-06
430.06055 1.7328418195795322e-05 1.5717358432334508e-05 1.4148203537678893e-05 1.2645538224811052e-05 1.1221581727471286e-05 9.883551388245612e-06 8.641553965666657e-06 7.491018684862397e-06 6.419273721088544e-06
430.06141 1.7622447204903912e-05 1.5907234926446896e-05 1.426911370835479e-05 1.2720256502950451e-05 1.126574373905384e-05 9.908573897455123e-06 8.656297281927604e-06 7.503068023490724e-06 6.434746938681388e-06
430.06227 1.7581304304121493e-05 1.5804076537629692e-05 1.4144678518664996e-05 1.2593845237350883e-05 1.1147893314013043e-05 9.805676009790208e-06 8.57227674033447e-06 7.440781732157684e-06 6.395113815546108e-06
430.06313 1.713122769928317e-05 1.5374524862664685e-05 1.3762917143901595e-05 1.2264867542282851e-05 1.0871295270718625e-05 9.579514814430434e-06 8.393603264815263e-06 7.3062560293701435e-06 6.299108041938125e-06
430.06399 1.6287901187704927e-05 1.4653097408355284e-05 1.3161787401242024e-05 1.176870488920425e-05 1.0466451985970455e-05 9.254688072000083e-06 8.138559758107073e-06 7.111517994305496e-06 6.152967728164707e-06
430.06485 1.5201668911644578e-05 1.3762686638024879e-05 1.2437764607648944e-05 1.1180469834494462e-05 9.991171109249577e-06 8.874870087834305e-06 7.839211473566085e-06 6.879259522425596e-06 5.972733937645945e-06
430.06571 1.4116255172345783e-05 1.2883563458957782e-05 1.1723079254035832e-05 1.0598350939157006e-05 9.518789279880197e-06 8.49483471002639e-06 7.536374511897193e-06 6.640074701152498e-06 5.782740135207939e-06
430.06657 1.3261286214801416e-05 1.2181769075087808e-05 1.1139511645951047e-05 1.0113509898643153e-05 9.118349573913244e-06 8.167101211217074e-06 7.2703603738482095e-06 6.4256932727649126e-06 5.609759822986228e-06
430.06743 1.2757680299678661e-05 1.1747640982454381e-05 1.0759658840215777e-05 9.784700742701547e-06 8.837261802056153e-06 7.929702136521906e-06 7.071847747504443e-06 6.261397830104593e-06 5.475471362977224e-06
430.06829 1.2594707040075181e-05 1.1585140499924966e-05 1.0598508936054464e-05 9.631095104515107e-06 8.695052379911756e-06 7.800772900622643e-06 6.956915158977173e-06 6.1611179917304125e-06 5.391523451460174e-06
430.06915 1.2689473578020786e-05 1.164766461074287e-05 1.0632062783236329e-05 9.64173737256287e-06 8.688071209226e-06 7.780532314957152e-06 6.927505689236974e-06 6.127098027071381e-06 5.359096934652739e-06
430.07001 1.2968464572348022e-05 1.188402628120756e-05 1.08240219049136e-05 9.791412742264543e-06 8.799057076023024e-06 7.857168744705044e-06 6.975316138912377e-06 6.152950863443647e-06 5.372163666007008e-06
430.07087 1.339599821753124e-05 1.22587272661263e-05 1.1141772084252188e-05 1.0052427779194573e-05 9.005523954118581e-06 8.012991312825442e-06 7.086608766620202e-06 6.227937931225414e-06 5.421730801365159e-06
430.07173 1.3949761917189173e-05 1.2743601899867292e-05 1.1555997016108113e-05 1.0396867726183938e-05 9.282568398809672e-06 8.226939618561904e-06 7.244491606616427e-06 6.339155437989212e-06 5.498318645300193e-06
